0,India,"1,210,854,977",17.64%,3287240,382,940,74.04
1,Uttar Pradesh,"199,812,341",20.23%,240928,829,912,67.68
2,Maharashtra,"112,374,333",15.99%,307713,365,929,82.34
3,Bihar,"104,099,452",25.42%,94163,1106,918,61.8
4,West Bengal,"91,276,115",13.84%,88752,1028,950,76.26
5,Andhra Pradesh,"84,580,777",10.98%,275045,308,993,67.02
6,Madhya Pradesh,"72,626,809",20.35%,308252,236,931,69.32
7,Tamil Nadu,"72,147,030",15.61%,130060,555,996,80.09
8,Rajasthan,"68,548,437",21.31%,342239,200,928,66.11
9,Karnataka,"61,095,297",15.60%,191791,319,973,75.36
10,Gujarat,"60,439,692",19.28%,196244,308,919,78.03
11,Orissa,"41,974,218",14.05%,155707,270,979,72.87
12,Kerala,"33,406,061",4.91%,38852,860,1084,94
13,Jharkhand,"32,988,134",22.42%,79716,414,948,66.41
14,Assam,"31,205,576",17.07%,78438,398,958,72.19
15,Punjab,"27,743,338",13.89%,50362,551,895,75.84
16,Chhattisgarh,"25,545,198",22.61%,135192,189,991,70.28
17,Haryana,"25,351,462",19.90%,44212,573,879,75.55
18,Delhi,"16,787,941",21.21%,1483,11320,868,86.21
19,Jammu and Kashmir,"12,541,302",23.64%,222236,56,889,67.16
20,Uttarakhand,"10,086,292",18.81%,53483,189,963,78.82
21,Himachal Pradesh,"6,864,602",12.94%,55673,123,972,82.8
22,Tripura,"3,673,917",14.84%,10486,350,960,87.22
23,Meghalaya,"2,966,889",27.95%,22429,132,989,74.43
24,Manipur,"2,855,794",24.50%,22327,128,985,76.94
25,Nagaland,"1,978,502",-0.58%,16579,119,931,79.55
26,Goa,"1,458,545",8.23%,3702,394,973,88.7
27,Arunachal Pradesh,"1,383,727",26.03%,83743,17,938,65.38
28,Puducherry,"1,247,953",28.08%,490,2547,1037,85.85
29,Mizoram,"1,097,206",23.48%,21081,52,976,91.33
30,Chandigarh,"1,055,450",17.19%,114,9258,818,86.05
31,Sikkim,"610,577",12.89%,7096,86,890,81.42
32,Andaman and Nicobar Islands,"380,581",6.86%,8249,46,876,86.63
33,Dadra and Nagar Haveli,"343,709",55.88%,491,700,774,76.24
34,Daman and Diu,"243,247",53.76%,111,2191,618,87.1
35,Lakshadweep,"64,473",6.30%,30,2149,946,91.85
